,simuli_name_1,Participant,avg_max,avg_min,avg_mean,avg_std,avg_kurtosis,avg_skewness,avg_auc,corr_max,corr_min,corr_mean,corr_std,corr_kurtosis,corr_skewness,corr_auc,diff_max,diff_min,diff_mean,diff_std,diff_kurtosis,diff_skewness,diff_auc
84,HN_7,6GSd4,4.410705566,3.425991058,3.97997869,0.276382684,-1.140472077,-0.043991313,883.7605438,4.30098146,3.566270563,4.049999265,0.119457381,,,,0.109724107,-0.140279504,-0.070020575,0.156925303,,,
85,HN_9,6GSd4,3.953468323,3.384521484,3.685719403,0.125476771,-0.605099912,-0.191137454,3516.129223,3.774466554,3.60884335,3.689384823,0.040408828,-1.280099724,-0.107215,3519.660694,0.179001769,-0.224321866,-0.00366542,0.085067943,0.674999812,-0.083922454,-3.531471408
86,HP_1_L,6GSd4,3.775485992,3.399806976,3.621553148,0.080796278,-0.396750119,-0.344635315,695.2354685,3.747588713,3.534451025,3.696691181,0.031157899,12.58289278,-2.858878555,709.7442181,0.02789728,-0.134644049,-0.075138033,0.049638379,-12.9796429,2.51424324,-14.50874957
87,HP_1_H,6GSd4,4.066993713,3.580345154,3.814814598,0.16436063,-1.484040831,0.214621575,232.6080208,3.735945656,3.661186348,3.706077848,0.024049795,-1.712597708,-0.030751612,226.0425455,0.331048057,-0.080841194,0.108736751,0.140310836,0.228556877,0.245373187,6.565475262
88,HP_2,6GSd4,3.974193573,3.413215637,3.728233918,0.114750069,-0.032252104,-0.439364513,1614.316738,3.776153909,3.608914495,3.716522041,0.040426923,-0.595382273,-0.417548595,1609.247803,0.198039664,-0.195698858,0.011711876,0.074323146,0.563130168,-0.021815917,5.068934747
89,HP_3_L,6GSd4,4.378189087,3.428295135,3.893134715,0.189099733,-0.145393309,0.008282092,3324.86153,3.954727787,3.819283423,3.902063907,0.023695578,,,,0.4234613,-0.390988288,-0.008929191,0.165404155,,,
90,HP_3_H,6GSd4,4.12758255,3.765129089,3.94167632,0.095272925,-1.057307155,-0.018685466,559.6513042,3.977667131,3.819230787,3.887601768,0.031058406,0.534017039,0.720667602,552.0234792,0.149915419,-0.054101697,0.054074552,0.064214518,-1.591324194,-0.739353068,7.627825038
91,HP_4,6GSd4,4.009799957,3.679325104,3.791476462,0.063452496,0.809330628,0.681478931,796.1798553,3.880901994,3.786306428,3.836219832,0.019233004,-0.796270538,0.233809666,805.5907571,0.128897963,-0.106981324,-0.04474337,0.044219492,1.605601167,0.447669265,-9.410901784
92,HP_5,6GSd4,4.130714417,3.842334747,3.992139028,0.080854007,-0.990561898,-0.262408193,527.0078964,4.022953381,3.856151236,3.917945143,0.03958581,-0.567752274,0.275542263,517.1689208,0.107761035,-0.013816489,0.074193884,0.041268198,-0.422809624,-0.537950456,9.83897564
93,HP_6,6GSd4,4.232414246,3.85370636,4.110262159,0.096294053,0.524854754,-1.205281335,739.8785706,4.62833609,3.922467513,4.040733321,0.087688575,19.27986233,3.624719478,727.3008266,-0.395921845,-0.068761153,0.069528839,0.008605478,-18.75500758,-4.830000813,12.57774391
94,HP_7_H,6GSd4,3.9569664,3.611122131,3.785275402,0.08249889,-0.873186847,-0.025489161,560.3031483,3.885951914,3.608256592,3.748167097,0.048525121,2.255290284,-0.677131219,554.7100456,0.071014486,0.002865539,0.037108304,0.03397377,-3.128477131,0.651642058,5.593102643
95,HP_7_L,6GSd4,4.014812469,3.319923401,3.662075594,0.204319972,-0.886811498,-0.118369764,325.8929482,3.765922566,3.563404529,3.691490236,0.062079043,,,,0.248889903,-0.243481128,-0.029414642,0.14224093,,,
96,HP_9,6GSd4,3.713382721,3.176197052,3.477637601,0.108385935,-0.708472219,-0.144876564,3519.500525,3.521960524,3.409183811,3.473763215,0.031043149,-1.003345017,-0.571714416,3515.475846,0.191422197,-0.232986759,0.003874386,0.077342786,0.294872797,0.426837852,4.024678654
97,LN_1,6GSd4,3.796936035,3.411773682,3.586270345,0.084264384,-0.560090742,0.321340654,1595.814089,3.7135195,3.62728442,3.634796084,0.011727778,,,,0.083416535,-0.215510738,-0.048525738,0.072536606,,,
